cycle,PC,func,mem,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
116,16,MUL,,0,9,15,8,3,19,6,2,1,0,1,-74,34,-2516,98,1
117,17,ADD,,0,9,15,8,3,19,6,2,1,-2516,1,-74,34,-2516,98,1
118,18,ADD,,0,9,15,8,3,19,6,2,2,-2516,1,-74,34,-2516,98,1
119,19,ADD,,0,10,15,8,3,19,6,2,2,-2516,1,-74,34,-2516,98,1
120,20,ADD,,0,10,16,8,3,19,6,2,2,-2516,1,-74,34,-2516,98,1
121,21,J,,0,10,16,8,3,19,6,2,2,-2516,1,-74,34,-2516,98,1
122,12,SLT,,0,10,16,8,3,19,6,2,2,-2516,1,-74,34,-2516,98,1
123,13,BEQ,,0,10,16,8,3,19,6,2,2,-2516,1,-74,34,-2516,98,1
124,14,LH,,0,10,16,8,3,19,6,2,2,-2516,1,-42,34,-2516,98,1
125,15,LH,,0,10,16,8,3,19,6,2,2,-2516,1,-42,62,-2516,98,1
126,16,MUL,,0,10,16,8,3,19,6,2,2,-2516,1,-42,62,-2604,98,1
127,17,ADD,,0,10,16,8,3,19,6,2,2,-5120,1,-42,62,-2604,98,1
128,18,ADD,,0,10,16,8,3,19,6,2,3,-5120,1,-42,62,-2604,98,1
129,19,ADD,,0,11,16,8,3,19,6,2,3,-5120,1,-42,62,-2604,98,1
130,20,ADD,,0,11,17,8,3,19,6,2,3,-5120,1,-42,62,-2604,98,1
131,21,J,,0,11,17,8,3,19,6,2,3,-5120,1,-42,62,-2604,98,1
132,12,SLT,,0,11,17,8,3,19,6,2,3,-5120,0,-42,62,-2604,98,1
133,13,BEQ,,0,11,17,8,3,19,6,2,3,-5120,0,-42,62,-2604,98,1
134,22,SH,mem[19] = -5120,0,11,17,8,3,19,6,2,3,-5120,0,-42,62,-2604,98,1
135,23,ADD,,0,11,17,8,3,19,6,3,3,-5120,0,-42,62,-2604,98,1
136,24,ADD,,0,11,17,8,3,20,6,3,3,-5120,0,-42,62,-2604,98,1
137,25,SLT,,0,11,17,8,3,20,6,3,3,-5120,0,-42,62,-2604,1,1
138,26,BEQ,,0,11,17,8,3,20,6,3,3,-5120,0,-42,62,-2604,1,1
139,27,LH,,0,11,17,8,3,20,6,3,3,-5120,0,-42,62,-2604,3,1
140,28,SUB,,0,11,14,8,3,20,6,3,3,-5120,0,-42,62,-2604,3,1
141,29,SUB,,0,8,14,8,3,20,6,3,3,-5120,0,-42,62,-2604,3,1
142,30,MUL,,0,8,14,8,3,20,6,3,3,-5120,0,-42,62,-2604,112,1
143,31,ADD,,0,9,14,8,3,20,6,3,3,-5120,0,-42,62,-2604,112,1
144,32,J,,0,9,14,8,3,20,6,3,3,-5120,0,-42,62,-2604,112,1
145,10,ADD,,0,9,14,8,3,20,6,3,0,-5120,0,-42,62,-2604,112,1
146,11,ADD,,0,9,14,8,3,20,6,3,0,0,0,-42,62,-2604,112,1
147,12,SLT,,0,9,14,8,3,20,6,3,0,0,1,-42,62,-2604,112,1
148,13,BEQ,,0,9,14,8,3,20,6,3,0,0,1,-42,62,-2604,112,1
149,14,LH,,0,9,14,8,3,20,6,3,0,0,1,-74,62,-2604,112,1
150,15,LH,,0,9,14,8,3,20,6,3,0,0,1,-74,0,-2604,112,1
151,16,MUL,,0,9,14,8,3,20,6,3,0,0,1,-74,0,0,112,1
152,17,ADD,,0,9,14,8,3,20,6,3,0,0,1,-74,0,0,112,1
153,18,ADD,,0,9,14,8,3,20,6,3,1,0,1,-74,0,0,112,1
154,19,ADD,,0,10,14,8,3,20,6,3,1,0,1,-74,0,0,112,1
155,20,ADD,,0,10,15,8,3,20,6,3,1,0,1,-74,0,0,112,1
156,21,J,,0,10,15,8,3,20,6,3,1,0,1,-74,0,0,112,1
157,12,SLT,,0,10,15,8,3,20,6,3,1,0,1,-74,0,0,112,1
158,13,BEQ,,0,10,15,8,3,20,6,3,1,0,1,-74,0,0,112,1
159,14,LH,,0,10,15,8,3,20,6,3,1,0,1,-42,0,0,112,1
160,15,LH,,0,10,15,8,3,20,6,3,1,0,1,-42,34,0,112,1
161,16,MUL,,0,10,15,8,3,20,6,3,1,0,1,-42,34,-1428,112,1
162,17,ADD,,0,10,15,8,3,20,6,3,1,-1428,1,-42,34,-1428,112,1
163,18,ADD,,0,10,15,8,3,20,6,3,2,-1428,1,-42,34,-1428,112,1
164,19,ADD,,0,11,15,8,3,20,6,3,2,-1428,1,-42,34,-1428,112,1
165,20,ADD,,0,11,16,8,3,20,6,3,2,-1428,1,-42,34,-1428,112,1
166,21,J,,0,11,16,8,3,20,6,3,2,-1428,1,-42,34,-1428,112,1
167,12,SLT,,0,11,16,8,3,20,6,3,2,-1428,1,-42,34,-1428,112,1
168,13,BEQ,,0,11,16,8,3,20,6,3,2,-1428,1,-42,34,-1428,112,1
169,14,LH,,0,11,16,8,3,20,6,3,2,-1428,1,-67,34,-1428,112,1
170,15,LH,,0,11,16,8,3,20,6,3,2,-1428,1,-67,62,-1428,112,1
171,16,MUL,,0,11,16,8,3,20,6,3,2,-1428,1,-67,62,-4154,112,1
172,17,ADD,,0,11,16,8,3,20,6,3,2,-5582,1,-67,62,-4154,112,1
173,18,ADD,,0,11,16,8,3,20,6,3,3,-5582,1,-67,62,-4154,112,1
174,19,ADD,,0,12,16,8,3,20,6,3,3,-5582,1,-67,62,-4154,112,1
175,20,ADD,,0,12,17,8,3,20,6,3,3,-5582,1,-67,62,-4154,112,1
176,21,J,,0,12,17,8,3,20,6,3,3,-5582,1,-67,62,-4154,112,1
177,12,SLT,,0,12,17,8,3,20,6,3,3,-5582,0,-67,62,-4154,112,1
178,13,BEQ,,0,12,17,8,3,20,6,3,3,-5582,0,-67,62,-4154,112,1
179,22,SH,mem[20] = -5582,0,12,17,8,3,20,6,3,3,-5582,0,-67,62,-4154,112,1
180,23,ADD,,0,12,17,8,3,20,6,4,3,-5582,0,-67,62,-4154,112,1
181,24,ADD,,0,12,17,8,3,21,6,4,3,-5582,0,-67,62,-4154,112,1
182,25,SLT,,0,12,17,8,3,21,6,4,3,-5582,0,-67,62,-4154,1,1
183,26,BEQ,,0,12,17,8,3,21,6,4,3,-5582,0,-67,62,-4154,1,1
184,27,LH,,0,12,17,8,3,21,6,4,3,-5582,0,-67,62,-4154,3,1
185,28,SUB,,0,12,14,8,3,21,6,4,3,-5582,0,-67,62,-4154,3,1
186,29,SUB,,0,9,14,8,3,21,6,4,3,-5582,0,-67,62,-4154,3,1
187,30,MUL,,0,9,14,8,3,21,6,4,3,-5582,0,-67,62,-4154,126,1
188,31,ADD,,0,10,14,8,3,21,6,4,3,-5582,0,-67,62,-4154,126,1
189,32,J,,0,10,14,8,3,21,6,4,3,-5582,0,-67,62,-4154,126,1
190,10,ADD,,0,10,14,8,3,21,6,4,0,-5582,0,-67,62,-4154,126,1
191,11,ADD,,0,10,14,8,3,21,6,4,0,0,0,-67,62,-4154,126,1
192,12,SLT,,0,10,14,8,3,21,6,4,0,0,1,-67,62,-4154,126,1
193,13,BEQ,,0,10,14,8,3,21,6,4,0,0,1,-67,62,-4154,126,1
194,14,LH,,0,10,14,8,3,21,6,4,0,0,1,-42,62,-4154,126,1
195,15,LH,,0,10,14,8,3,21,6,4,0,0,1,-42,0,-4154,126,1
196,16,MUL,,0,10,14,8,3,21,6,4,0,0,1,-42,0,0,126,1
197,17,ADD,,0,10,14,8,3,21,6,4,0,0,1,-42,0,0,126,1
198,18,ADD,,0,10,14,8,3,21,6,4,1,0,1,-42,0,0,126,1
199,19,ADD,,0,11,14,8,3,21,6,4,1,0,1,-42,0,0,126,1
200,20,ADD,,0,11,15,8,3,21,6,4,1,0,1,-42,0,0,126,1
201,21,J,,0,11,15,8,3,21,6,4,1,0,1,-42,0,0,126,1
202,12,SLT,,0,11,15,8,3,21,6,4,1,0,1,-42,0,0,126,1
203,13,BEQ,,0,11,15,8,3,21,6,4,1,0,1,-42,0,0,126,1
204,14,LH,,0,11,15,8,3,21,6,4,1,0,1,-67,0,0,126,1
205,15,LH,,0,11,15,8,3,21,6,4,1,0,1,-67,34,0,126,1
206,16,MUL,,0,11,15,8,3,21,6,4,1,0,1,-67,34,-2278,126,1
207,17,ADD,,0,11,15,8,3,21,6,4,1,-2278,1,-67,34,-2278,126,1
208,18,ADD,,0,11,15,8,3,21,6,4,2,-2278,1,-67,34,-2278,126,1
209,19,ADD,,0,12,15,8,3,21,6,4,2,-2278,1,-67,34,-2278,126,1
210,20,ADD,,0,12,16,8,3,21,6,4,2,-2278,1,-67,34,-2278,126,1
211,21,J,,0,12,16,8,3,21,6,4,2,-2278,1,-67,34,-2278,126,1
212,12,SLT,,0,12,16,8,3,21,6,4,2,-2278,1,-67,34,-2278,126,1
213,13,BEQ,,0,12,16,8,3,21,6,4,2,-2278,1,-67,34,-2278,126,1
214,14,LH,,0,12,16,8,3,21,6,4,2,-2278,1,-94,34,-2278,126,1
215,15,LH,,0,12,16,8,3,21,6,4,2,-2278,1,-94,62,-2278,126,1
216,16,MUL,,0,12,16,8,3,21,6,4,2,-2278,1,-94,62,-5828,126,1
217,17,ADD,,0,12,16,8,3,21,6,4,2,-8106,1,-94,62,-5828,126,1
218,18,ADD,,0,12,16,8,3,21,6,4,3,-8106,1,-94,62,-5828,126,1
219,19,ADD,,0,13,16,8,3,21,6,4,3,-8106,1,-94,62,-5828,126,1
220,20,ADD,,0,13,17,8,3,21,6,4,3,-8106,1,-94,62,-5828,126,1
221,21,J,,0,13,17,8,3,21,6,4,3,-8106,1,-94,62,-5828,126,1
222,12,SLT,,0,13,17,8,3,21,6,4,3,-8106,0,-94,62,-5828,126,1
223,13,BEQ,,0,13,17,8,3,21,6,4,3,-8106,0,-94,62,-5828,126,1
224,22,SH,mem[21] = -8106,0,13,17,8,3,21,6,4,3,-8106,0,-94,62,-5828,126,1
225,23,ADD,,0,13,17,8,3,21,6,5,3,-8106,0,-94,62,-5828,126,1
226,24,ADD,,0,13,17,8,3,22,6,5,3,-8106,0,-94,62,-5828,126,1
227,25,SLT,,0,13,17,8,3,22,6,5,3,-8106,0,-94,62,-5828,1,1
228,26,BEQ,,0,13,17,8,3,22,6,5,3,-8106,0,-94,62,-5828,1,1
229,27,LH,,0,13,17,8,3,22,6,5,3,-8106,0,-94,62,-5828,3,1
230,28,SUB,,0,13,14,8,3,22,6,5,3,-8106,0,-94,62,-5828,3,1
231,29,SUB,,0,10,14,8,3,22,6,5,3,-8106,0,-94,62,-5828,3,1
232,30,MUL,,0,10,14,8,3,22,6,5,3,-8106,0,-94,62,-5828,140,1
233,31,ADD,,0,11,14,8,3,22,6,5,3,-8106,0,-94,62,-5828,140,1
234,32,J,,0,11,14,8,3,22,6,5,3,-8106,0,-94,62,-5828,140,1
235,10,ADD,,0,11,14,8,3,22,6,5,0,-8106,0,-94,62,-5828,140,1
236,11,ADD,,0,11,14,8,3,22,6,5,0,0,0,-94,62,-5828,140,1
237,12,SLT,,0,11,14,8,3,22,6,5,0,0,1,-94,62,-5828,140,1
238,13,BEQ,,0,11,14,8,3,22,6,5,0,0,1,-94,62,-5828,140,1
239,14,LH,,0,11,14,8,3,22,6,5,0,0,1,-67,62,-5828,140,1
240,15,LH,,0,11,14,8,3,22,6,5,0,0,1,-67,0,-5828,140,1
241,16,MUL,,0,11,14,8,3,22,6,5,0,0,1,-67,0,0,140,1
242,17,ADD,,0,11,14,8,3,22,6,5,0,0,1,-67,0,0,140,1
243,18,ADD,,0,11,14,8,3,22,6,5,1,0,1,-67,0,0,140,1
244,19,ADD,,0,12,14,8,3,22,6,5,1,0,1,-67,0,0,140,1
245,20,ADD,,0,12,15,8,3,22,6,5,1,0,1,-67,0,0,140,1
246,21,J,,0,12,15,8,3,22,6,5,1,0,1,-67,0,0,140,1
247,12,SLT,,0,12,15,8,3,22,6,5,1,0,1,-67,0,0,140,1
248,13,BEQ,,0,12,15,8,3,22,6,5,1,0,1,-67,0,0,140,1
249,14,LH,,0,12,15,8,3,22,6,5,1,0,1,-94,0,0,140,1
250,15,LH,,0,12,15,8,3,22,6,5,1,0,1,-94,34,0,140,1
251,16,MUL,,0,12,15,8,3,22,6,5,1,0,1,-94,34,-3196,140,1
252,17,ADD,,0,12,15,8,3,22,6,5,1,-3196,1,-94,34,-3196,140,1
253,18,ADD,,0,12,15,8,3,22,6,5,2,-3196,1,-94,34,-3196,140,1
254,19,ADD,,0,13,15,8,3,22,6,5,2,-3196,1,-94,34,-3196,140,1
255,20,ADD,,0,13,16,8,3,22,6,5,2,-3196,1,-94,34,-3196,140,1
256,21,J,,0,13,16,8,3,22,6,5,2,-3196,1,-94,34,-3196,140,1
257,12,SLT,,0,13,16,8,3,22,6,5,2,-3196,1,-94,34,-3196,140,1
258,13,BEQ,,0,13,16,8,3,22,6,5,2,-3196,1,-94,34,-3196,140,1
259,14,LH,,0,13,16,8,3,22,6,5,2,-3196,1,-7,34,-3196,140,1
260,15,LH,,0,13,16,8,3,22,6,5,2,-3196,1,-7,62,-3196,140,1
261,16,MUL,,0,13,16,8,3,22,6,5,2,-3196,1,-7,62,-434,140,1
262,17,ADD,,0,13,16,8,3,22,6,5,2,-3630,1,-7,62,-434,140,1
263,18,ADD,,0,13,16,8,3,22,6,5,3,-3630,1,-7,62,-434,140,1
264,19,ADD,,0,14,16,8,3,22,6,5,3,-3630,1,-7,62,-434,140,1
265,20,ADD,,0,14,17,8,3,22,6,5,3,-3630,1,-7,62,-434,140,1
266,21,J,,0,14,17,8,3,22,6,5,3,-3630,1,-7,62,-434,140,1
267,12,SLT,,0,14,17,8,3,22,6,5,3,-3630,0,-7,62,-434,140,1
268,13,BEQ,,0,14,17,8,3,22,6,5,3,-3630,0,-7,62,-434,140,1
269,22,SH,mem[22] = -3630,0,14,17,8,3,22,6,5,3,-3630,0,-7,62,-434,140,1
270,23,ADD,,0,14,17,8,3,22,6,6,3,-3630,0,-7,62,-434,140,1
271,24,ADD,,0,14,17,8,3,23,6,6,3,-3630,0,-7,62,-434,140,1
272,25,SLT,,0,14,17,8,3,23,6,6,3,-3630,0,-7,62,-434,0,1
273,26,BEQ,,0,14,17,8,3,23,6,6,3,-3630,0,-7,62,-434,0,1
274,33,LH,,0,14,17,8,3,23,6,6,3,-3630,0,-7,62,-434,32,1
275,34,ADD,,0,32,17,8,3,23,6,6,3,-3630,0,-7,62,-434,32,1
276,35,LH,,0,32,10,8,3,23,6,6,3,-3630,0,-7,62,-434,32,1
277,36,ADD,,0,32,10,0,3,23,6,6,3,-3630,0,-7,62,-434,32,1
278,37,ADD,,0,32,10,0,0,23,6,6,3,-3630,0,-7,62,-434,32,1
279,38,ADD,,0,32,10,0,0,1,6,6,3,-3630,0,-7,62,-434,32,1
280,39,LH,,0,32,10,0,0,1,6,6,3,-3630,0,-7,62,2,32,1
281,40,BEQ,,0,32,10,0,0,1,6,6,3,-3630,0,-7,62,2,32,1
282,41,ADD,,0,32,10,2,0,1,6,6,3,-3630,0,-7,62,2,32,1
283,42,ADD,,0,32,10,2,0,1,1,6,3,-3630,0,-7,62,2,32,1
284,43,ADD,,0,32,10,3,0,1,1,6,3,-3630,0,-7,62,2,32,1
285,44,BEQ,,0,32,10,3,0,1,1,6,3,-3630,0,-7,62,2,32,1
286,45,ADD,,0,32,10,3,1,1,1,6,3,-3630,0,-7,62,2,32,1
287,46,ADD,,0,32,10,3,1,1,1,6,3,-3630,0,-7,62,2,32,1
288,47,J,,0,32,10,3,1,1,1,6,3,-3630,0,-7,62,2,32,1
289,42,ADD,,0,32,10,3,1,1,2,6,3,-3630,0,-7,62,2,32,1
290,43,ADD,,0,32,10,4,1,1,2,6,3,-3630,0,-7,62,2,32,1
291,44,BEQ,,0,32,10,4,1,1,2,6,3,-3630,0,-7,62,2,32,1
292,45,ADD,,0,32,10,4,1,1,2,6,3,-3630,0,-7,62,2,32,1
293,46,ADD,,0,32,10,4,1,2,2,6,3,-3630,0,-7,62,2,32,1
294,47,J,,0,32,10,4,1,2,2,6,3,-3630,0,-7,62,2,32,1
295,42,ADD,,0,32,10,4,1,2,3,6,3,-3630,0,-7,62,2,32,1
296,43,ADD,,0,32,10,5,1,2,3,6,3,-3630,0,-7,62,2,32,1
297,44,BEQ,,0,32,10,5,1,2,3,6,3,-3630,0,-7,62,2,32,1
298,45,ADD,,0,32,10,5,2,2,3,6,3,-3630,0,-7,62,2,32,1
299,46,ADD,,0,32,10,5,2,3,3,6,3,-3630,0,-7,62,2,32,1
300,47,J,,0,32,10,5,2,3,3,6,3,-3630,0,-7,62,2,32,1
301,42,ADD,,0,32,10,5,2,3,5,6,3,-3630,0,-7,62,2,32,1
302,43,ADD,,0,32,10,6,2,3,5,6,3,-3630,0,-7,62,2,32,1
303,44,BEQ,,0,32,10,6,2,3,5,6,3,-3630,0,-7,62,2,32,1
304,45,ADD,,0,32,10,6,3,3,5,6,3,-3630,0,-7,62,2,32,1
305,46,ADD,,0,32,10,6,3,5,5,6,3,-3630,0,-7,62,2,32,1
306,47,J,,0,32,10,6,3,5,5,6,3,-3630,0,-7,62,2,32,1
307,42,ADD,,0,32,10,6,3,5,8,6,3,-3630,0,-7,62,2,32,1
308,43,ADD,,0,32,10,7,3,5,8,6,3,-3630,0,-7,62,2,32,1
309,44,BEQ,,0,32,10,7,3,5,8,6,3,-3630,0,-7,62,2,32,1
310,45,ADD,,0,32,10,7,5,5,8,6,3,-3630,0,-7,62,2,32,1
311,46,ADD,,0,32,10,7,5,8,8,6,3,-3630,0,-7,62,2,32,1
